Acls,Section,Permission
0ad99c49-31e9-499c-9616-c7aa5b8dcaf9[CC_Delimiter]aadeb359-0f40-4a74-89d2-dd285205ffde,Security,VPC Traffic Analysis
0ad99c49-31e9-499c-9616-c7aa5b8dcaf9[CC_Delimiter]01bc8352-e497-4ae0-a9b0-ed7eeffdfb5e,Security,Network ACL Common Searches
0ad99c49-31e9-499c-9616-c7aa5b8dcaf9[CC_Delimiter]5fe1c301-4be7-41d1-9710-1090198dce9c,Security,Subnets Summary
0ad99c49-31e9-499c-9616-c7aa5b8dcaf9[CC_Delimiter]a194f1b6-499b-400f-a3d0-dc137f0564d9,Security,List of Subnets
0ad99c49-31e9-499c-9616-c7aa5b8dcaf9[CC_Delimiter]60c795fc-59d4-44a8-a3bd-4ffefa7f08e7,Security,VPC Endpoints Summary
0ad99c49-31e9-499c-9616-c7aa5b8dcaf9[CC_Delimiter]2800d05b-ca75-4f24-9f3c-b6d9b6206479,Security,List of Endpoints
0ad99c49-31e9-499c-9616-c7aa5b8dcaf9[CC_Delimiter]f6b6de32-3ec5-4df9-a7eb-06423c1bf422,Security,Network ACL Summary
0ad99c49-31e9-499c-9616-c7aa5b8dcaf9[CC_Delimiter]b6ed3653-7812-4a9d-b595-635c6c617484,Security,List of Network ACLs
0ad99c49-31e9-499c-9616-c7aa5b8dcaf9[CC_Delimiter]5ec7e6f6-6755-4543-a911-2bda370a5731,Security,Peering Connection Summary
0ad99c49-31e9-499c-9616-c7aa5b8dcaf9[CC_Delimiter]83006889-9400-4722-aebb-495a95c7d036,Security,List of Peering Connections
0ad99c49-31e9-499c-9616-c7aa5b8dcaf9[CC_Delimiter]e7a2fabc-e017-48af-a969-5f018e56dbcc,Security,Route Tables Summary
0ad99c49-31e9-499c-9616-c7aa5b8dcaf9[CC_Delimiter]080dc016-c159-47a0-96b0-3c5202c858c1,Security,List of Route Tables
0ad99c49-31e9-499c-9616-c7aa5b8dcaf9[CC_Delimiter]45d3100b-7cfc-4b0d-94a4-3e293a335342,Security,VPN Gateways Summary
0ad99c49-31e9-499c-9616-c7aa5b8dcaf9[CC_Delimiter]6aa2e8c6-4fcb-477d-8a93-08855719f328,Security,List of VPN Gateways
0ad99c49-31e9-499c-9616-c7aa5b8dcaf9[CC_Delimiter]1a834c47-e84d-4ef4-9b9b-dcb20185a834,Security,NAT Gateways Summary
